art,t,bpm,g,ln,s
typeMARS,Triumph & Regret,175,2,5,347650
Team Grimoire,C18H27NO3(extend),210,2,5,303998
Kurokotei,Galaxy Collapse,270,2,5,400078
S-C-U feat. Qrispy Joybox,anemone,200,2,5,283841
Kobaryo,Dotabata Animation [feat. t+pazolite],260,10,5,573280
t+pazolite,Oshama Scramble!,190,2,5,511480
Qrispy Joybox,Ascalon,185,2,5,334363
yanaginagi,Haru Modoki (Asterisk DnB Remix),175,3,3,343093
Camellia,Light It Up,175,10,5,455164
xi,Blue Zenith,200,10,5,919633
ALiCE'S EMOTiON,Dark Flight Dreamer,189,2,3,460324
ginkiha,Anemoi,186,10,5,381397
Kaneko Chiharu,Kai Dan,270,2,5,623951
ginkiha,Borealis,196,2,5,356253
S3RL feat Krystal,R4V3 B0Y,175,10,2,407186
High Speed Music Team Sharpnel,M.A.M.A.,175,10,5,176446
REDALiCE,Masakari Blade,194,2,5,395250
Seiryu,BLUE DRAGON,191,10,5,340810
jioyi,cyanine,182,2,5,581729
Camellia,Exit This Earth's Atomosphere,170,10,5,575053
SOUND HOLIC feat. Nana Takahashi,Wakusei*Lollipop,180,2,3,480769
Seiryu,Critical Crystal,191,10,5,376340
Yooh,MariannE,191,10,5,387756
Kaneko Chiharu,Yuki Onna,200,2,5,377004
LeaF,NANO DEATH!!!!!,170,10,5,478161
Risshuu feat. Choko,Take,150,2,3,1377628
AKINO from bless4,MIIRO,195,3,3,288794
Kaneko Chiharu,Zettai Reido,209,2,5,514461
Siti Badriah,Mama Minta Pulsa (Speed Up Ver.),170,7,14,532917
sasakure.UK,Puppet Theater of Twee-Box feat. Hatsune Miku,170,10,3,459223
Halozy,Kanshou no Matenrou,183,2,3,251365
Neru,Lost One no Goukoku,162,4,3,175684
Kobaryo,Perfect Neglect,230,10,5,808872
M2U,Marigold (feat. Guriri),160,2,2,636272
TeamGrimoire+amaneko,croiX,195,2,5,326079
BlackY,AlphaOmega (Evolutionary Extended ver.),155,10,5,1329899
Team Grimoire,G1ll35 d3 R415,215,10,5,386950
ARForest,Journey,200,2,5,942240
P*Light,NINJA IS DEAD IIDX ver.,222,2,5,590032
Nanahoshi Kangengakudan feat. Hatsune Miku,Rubik's Cube,174,4,3,170446
Hypernite Industries,Speedcore 300,300,10,5,228853
Marshmello,Alone,142,10,2,468213
P*Light,Gekkou Ranbu,186,2,5,382403
THE ORAL CIGARETTES,Songs Compilation,68,4,3,1428416
IOSYS,Doutei Korose,200,10,3,530923
t+pazolite,CENSORED!!,195,2,5,476221
sweet ARMS,Installation,215,2,3,362395
Camellia,overcomplexification,190,2,5,323493
t+pazolite,Shiny Kung-fu Revival,222.2,2,5,1128753
Ryu* Vs. Sota,Go Beyond!!,200,2,5,187154
Suzuki Konomi,Redo,190,3,3,516638
Houshou Marine,Ahoy!! Warera Houshou Kaizokudan*,170,5,3,1285818
MAZARE,Mazare Party,200,5,3,650415
L.E.D.-G + Qrispy Joybox + ARM feat. Nanahira,Dokkin Summer Adventure,180,2,3,349561
a crowd of rebellion,Alone//Dite,205,4,3,1202872
Alstroemeria Records,Bad Apple!! feat. nomico (Tracy vs. Astronomical Remix),145,2,3,926185
t+pazolite,Pumpin' Junkies,190,10,5,484327
kors k feat.RIRE,"Nirvana(Camellia's ""BinaryHeaven"" Remix)",174,10,5,388162
Wakeshima Kanon,"World's End, Girl's Rondo(Asterisk DnB Remix)",175,3,3,302693
The Quick Brown Fox,Big Money,280,10,2,440508
KISIDA KYODAN & THE AKEBOSI ROCKETS,GATE II ~Sekai o Koete~ (TV-size),206,3,3,482869
SHK,Identity part.II,150,2,5,359023
THE ORAL CIGARETTES,ReI,186,4,3,1141872
Camellia,Algorithm (Hitech Psy Self-remix),147,10,3,612842
