art,t,bpm,g,ln,s
Saiya,Remote Control,165,10,3,53857
DJ Genericname,Dango Dango Drum and Bass,178,3,3,64636
Soleily,Renatus,182,10,5,241526
yuikonnu & ayaponzu*,Super Nuko World,190,4,3,153776
Team Nekokan,Can't Defeat Airman,200,2,3,24084
S3RL feat Krystal,R4V3 B0Y,175,10,2,481451
Takamitsu Yoko,Angel Dream,180,2,3,17902
beatMARIO,Night of Knights,180,2,5,352570
Hanatan,Airman ga Taosenai (SOUND HOLIC Ver.),175,2,3,134151
xi,FREEDOM DiVE,222.22,2,5,39804
UNDEAD CORPORATION,Yoru Naku Usagi wa Yume o Miru,200,2,3,58951
Wotamin,Gigantic O.T.N,190,5,3,80214
Nakanojojo,Bittersweet (feat. Kuishinboakachan a.k.a Kiato),173,10,3,847323
KurousaP,Senbonzakura,154,4,3,79531
Rohi,Kakuzetsu Thanatos,200,10,3,76396
Meiko,Leave The Lights On (KROT Remix),170,6,2,76623
PSYQUI,Education,180,10,5,1119099
jippusu,Heisei Kataku Rhythm,220,4,3,71720
LeaF,Calamity Fortune,200,2,5,96103
Nanahira,Tobidase! Sweet Sweet Magic*,180,10,3,42837
DystopiaGround,AugoEidEs,207,4,3,136969
Hatsune Miku,Unhappy Refrain,205,4,3,30128
DystopiaGround,AugoEidEs,207,4,3,24611
Sagara Kokoro,Hoshizora no Ima,185,2,3,79116
DECO*27,HIBANA feat. Hatsune Miku,200,10,3,875020
S3RL,Bass Slut (Original Mix),175,10,2,983911
cillia,Ringo Uri no Utakata Shoujo,225.2,5,3,398423
Mitani Nana,Chikyuu Saigo no Kokuhaku o,190,4,3,65491
DECO*27,Ghost Rule,210,4,3,624218
ClariS,Colorful (tamame's apostate remix),175,3,3,899738
dj TAKA,quaver,182,2,5,873811
Zeami,Black Rose Apostle,204,2,5,23838
Nanamori-chu * Goraku-bu,My Pace de Ikimashou,190,3,3,36569
Hatsune Miku,Senbonzakura (Short Ver.),154,4,3,36858
Reol,Streaming Heart,210,4,3,410293
Tamura Yukari,Fantastic future (TV Size),172,3,3,89366
marina,Towa yori Towa ni,200,2,3,148034
marina,Towa yori Towa ni,200,2,3,552695
REDALiCE,Pekorap Tropical House Remix,110,10,3,1224414
Our Stolen Theory,United (L.A.O.S Remix),175,10,2,1580377
DJ S3RL,T-T-Techno (feat. Jesskah),175,10,2,83560
Sleeping With Sirens,If You Can't Hang,192,4,2,409025
Aso Natsuko,More-more LOVERS!!,182,3,3,70104
DystopiaGround,AugoEidEs,207,4,3,508901
Hatsune Miku,Kagerou Days,200,4,3,37638
xi,Blue Zenith,200,10,5,292301
ALiCE'S EMOTiON,Dark Flight Dreamer,189,2,3,1265192
Ikimono Gakari,Blue Bird (TV Size),151.93,3,3,12431
MC Lynn,EkiBEN2000,194,2,3,9782
Taiko no Tatsujin,Kaze no Fantasy,182,2,3,6472
Kagamine Rin,Tokyo Teddy Bear,204,4,3,39838
Nanahira,Chikatto Chika Chika,178,3,3,942642
MIMI feat. Hatsune Miku,Marshmary,182,5,3,962088
Megpoid GUMI,Jinsei Reset Button,200,4,3,39971
Nami Nakagawa,DON'T CUT,170,2,2,19055
Hatsune Miku & Megpoid Gumi,MATRYOSHKA,205,4,3,19789
Hanataba,Night of Knights,180,2,5,5445
Knife Party,Bonfire,87,10,2,73576
Vickeblanka,Black Rover (TV Size),204,3,3,781509
REDALiCE Feat. Ayumi Nomiya,Little Star,183,2,3,81051
Ayaponzu*,Streaming Heart,210,4,3,552702
u's,MOMENT RING,196,3,3,437113
Black Raison d'etre,INSIDE IDENTITY,187,3,3,100682
MIMI feat. Hatsune Miku,Ai no Sukima,204,5,3,952409
S3RL,Pika Girl,175,10,2,40440
S3RL,Catchit (Radio Edit),175,10,2,839864
Caramell,Caramelldansen (Ryu* Remix) (Nightcore Mix),197.75,7,9,48842
AU,Infinite of Nuclear Fusion,200,2,5,35211
Mrs. GREEN APPLE,Inferno (TV Size),185,3,3,999645
Hatsune Miku,Cruel Clocks,220,4,3,47608
Dark PHOENiX,Taketori Hishou,192,2,5,22276
Sariyajin,Ao no Senritsu,196.05,2,3,124500
Foreground Eclipse,Storytellers,183,4,3,311328
IOSYS,Cirno's Perfect Math Class,175,2,3,120071
Yousei Teikoku,Zetsubou plantation,230,4,3,86009
KANA-BOON,Silhouette,183,3,3,399358
Dustvoxx,Trigger (Zekk Remix),200,10,5,1004571
Ochiai Yurika,Koibumi2000,200,2,3,10539
fhana,Wonder Stella,193,3,3,365025
S3RL feat Krystal,R4V3 B0Y,175,10,2,593010
Reol,MONSTER,164,5,3,661483
Nanahira,Frightfully-insane Flan-chan's frightful song,170,2,3,35375
MIMI feat. Hatsune Miku,Mizuoto to Curtain,186,5,3,968171
S3RL,Bass Slut (Original Mix),175,10,2,375648
t+pazolite,Party in the HOLLOWood feat. Nanahira (HOLLOWeen Sitchaka Metchaka Remix),200,10,3,916198
Ryu*,Mind Mapping (kors k mix),183,2,5,107237
Nanahoshi Kangengakudan,IMAGINARY LIKE THE JUSTICE,190,4,3,312658
Megpoid GUMI,Life Reset Button,200,4,3,40749
Kakumi Nishigomi,Sengoku Sangen,144,2,5,26489
Eluveitie,Helvetios,220,4,2,324146
KASAI HARCORES,TRIPLE PLAY,175,2,5,977167
HoneyWorks,Confession Rehearsal,185,4,3,69813
inabakumori,Lagtrain,147,4,3,1406580
Omoi,Teo,185,4,3,767251
Krewella,Come And Get It (Razihel Remix),220,10,2,417377
Hatsune Miku,Parade of Liars,200,4,3,21926
ONE OK ROCK,Kanzen Kankaku Dreamer,190.04,4,3,66927
IA,Six Trillion Years and Overnight Story,186,4,3,51245
BABYMETAL,Road of Resistance,205,4,3,433961
tsunamix_underground,Period. ~ Seishin no Kousoku to Jiyuu o Tsukamu Jouka,150,10,5,1550437
AZKi,Fake.Fake.Fake,255,4,3,1283761
wowaka,World's End Dancehall (ROCKETMAN Remix),171,10,3,88911
Demetori,Jehovah's YaHVeH,220,2,5,9641
Rungran,d.m.c (Band Ver.),180,2,5,52203
Aqours,"Thank you, FRIENDS!! (ginka*EX -Farewell Remix-)",200,3,3,863884
yuikonnu,caramel heaven,194,4,3,297969
Nico Nico Douga,Ryuuseigun,175.99,7,5,2459
Silver Forest,Kero (9) Revolution Final Battle,172,2,3,20795
Maffalda,pensamento tipico de esquerda caviar,157.1,9,14,175036
ONE OK ROCK,Never Let This Go,191,4,3,79713
Panda Eyes & Teminite,Highscore,110,10,5,332532
Wisp X,Final Moments,165,10,5,847957
MISATO,Necro Fantasia,175,2,3,516494
nmk,sola,195,2,5,171239
Chino(CV.Minase Inori),Shinsaku no Shiawase wa Kochira!,175,3,3,441155
Giga-P,Okochama Sensou,175,5,3,131818
NayutalieN,Alien Alien (Nhato Remix),152,10,3,904873
supercell,Kimi no Shiranai Monogatari,165,3,3,48076
IOSYS,Endless Tewi-ma Park,128,2,3,48874
M2U,Masquerade,128,2,5,124857
Wowkie Zhang,Yang Guang Cai Hong Xiao Bai Ma,96,5,4,1236694
RUON feat. Meramipop,Secret Desire - Dyes Remix -,174,10,3,1231167
Cranky,Chandelier - King,110,10,5,751785
u's,Snow halation,173,5,3,66385
Yorushika,Replicant,190,4,3,1546822
Himeringo,Yotsuya-san ni Yoroshiku,220,4,3,100049
Hatsune Miku,Rubik's Cube,174,4,3,33651
Datsuji-P,Anison Sprint (Anime Song Medley),192,3,5,45853
Pendulum,The Island (MaxNRG Remix),174,10,2,48284
umu.,Ai no Sukima,204,5,3,966339
Feint,Tower Of Heaven (You Are Slaves),175,10,5,128931
Primastella,Koigokoro,140,2,3,153622
dj TAKA,quaver,182,2,5,423527
HoneyWorks,Ima Suki ni Naru. ver.Capi,170,4,3,286383
Getter Jaani,Rockefeller Street (Nightcore Mix),162.5,10,2,33842
Himeringo,Idola no Circus,181,4,3,728008
AU,Rotterdam Cirno,200,2,5,82259
sampling masters MEGA,Rotter Tarmination,200,2,5,17351
Momokurotei Ichimon,Nippon Egao Hyakkei,160,3,3,59569
Nakamura Mamechiyo,Kare Kano Kanon,180,2,3,37090
O2i3,TSLove,185,10,5,620910
Hiroyuki Sawano feat. Mika Kobayashi,Before My Body Is Dry (tomatomerde remix),174,3,3,478494
KASAI HARCORES,Cycle Hit,175,10,5,668239
Zeami,Music Revolver,168,2,5,53231
Feryquitous,Central Nucleus,175,10,5,695399
Nanaki feat.GUMI,Mousou Kajitsu,200,4,3,602993
REDALiCE feat. Usada Pekora & Sakura Miko,Peko Miko Daisensou!!,180,10,3,1303887
Chai Found Music Workshop,Chikuzei ~GEAR UP~,145.94,2,5,13870
DJ SHARPNEL,FAKE PROMISE,190.8,10,3,1054153
t+pazolite,Satisfiction (uncut edition),195,10,5,828877
MuryokuP,Catastrophe,200,4,5,72740
Frederic Chopin,Etude Op. 10-4,167.5,12,5,22374
Yooh,Dynasty,189,2,5,83094
Yuuzuki Tsubaki,midnight cookie,183,2,3,326177
fripSide,Last Fortune (pocotan Remix),176,2,3,433465
Hyadain,Hyadain no Joujou Yuujou (TV Size),200,3,3,32775
Ara Potato,Skype x Can Can,195.14,7,14,47078
Primary,Inai Sekai,250,4,3,560389
LiSA,crossing field (TV Size),179,3,3,54373
Tamura Yukari,W:Wonder tale,183,3,3,79236
ALiCE'S EMOTiON,Dark Flight Dreamer,189,2,3,185250
Getter Jaani,Rockefeller Street (Nightcore Mix),162.5,10,2,942866
Kagamine Rin,Abstract Nonsense,208,4,3,39580
hololive IDOL PROJECT,BLUE CLAPPER,145,5,3,1329875
Camellia,"Exit This Earth's Atomosphere (Camellia's ""PLANETARY//200STEP"" Remix)",200,10,5,1079786
DJ S3RL feat. Tamika,Rainbow Girl,175,10,5,67105
S3RL,Candy (feat. Sara),175,10,2,829956
DJ Okawari,Flower Dance,100,6,5,33688
HujuniseikouyuuP,MISTAKE,205,4,3,105245
Lon,Yuru Fuwa Jukai Girl,216,5,3,49686
Demetori,Wind God Girl,200,2,5,20949
ryo (supercell),ODDS&ENDS (Short Ver.),192,2,3,59981
HO-KAGO TEA TIME,U&I,210,3,3,23138
SymaG,Buriki no Dance,172,4,3,482486
ONE OK ROCK,Answer is Near,188,4,3,63112
EGOIST,The Everlasting Guilty Crown (TV Size),172,3,3,43479
NU-KO,Pochiko no Shiawase na Nichijou (Long Version),192,2,3,355068
Yousei Teikoku,Hades: The Rise,210,6,3,33911
Houshou Marine with Holoism Fantasy,Hoihoi*Gensou Holoism,132,10,3,1336533
S3RL feat Harri Rush,Nostalgic (Nightcore Mix),195,10,2,591442
RADWIMPS,Zen Zen Zense (movie ver.),190,3,3,513590
Usada Pekora,Discommunication Alien,170,5,3,1260310
bj.HaLo,Ende,200,10,5,44035
cYsmix feat. Emmy,Tear Rain,128,2,3,140662
Fujiwara Chika (CV: Kohara Konomi),Chikatto Chika Chika,178,3,3,962996
Eve,Kaikai Kitan (TV Size),185,5,3,1270438
Our Stolen Theory,United (L.A.O.S Remix),175,10,2,559371
Various Artists,Nightcore Mix Compilation,172.76,10,2,89289
Linked Horizon,Shinzou o Sasageyo! [TV Size],160,3,3,595844
DM vs. POCKET,uNDeRWoRLD MoNaRCHy,177,2,5,431961
Konuko,Toumei Elegy,220,4,3,563743
Tamura Yukari,Fantastic future (TV Size),172,3,3,89013
Giga-P,Electric Angel,150,10,3,172900
xi,ANiMA,183.5,2,5,326029
USAO,BroGamer,207,2,5,635636
THE ORAL CIGARETTES,Kyouran Hey Kids!!,142,3,3,371118
Igorrr,Tout Petit Moineau,212,10,5,212180
Equilibrium,Waldschrein,200,11,8,646705
Zeami,Ryougen no Mai,208,2,5,29386
Kobaryo,Tool-Assisted Speedcore (TQBF Frame Advance RMX),196,10,5,1275054
Helblinde,Grief & Malice,200,3,3,782253
mafumafu,Hello Dystopia,200,5,3,809048
Hyadain,Hyadain no Kakakata Kataomoi-C (TV Size),180,3,3,28565
Kobaryo,New Game Plus,200,10,5,1249951
Aitsuki Nakuru,Monochrome Butterfly,175,4,3,770300
Yousei Teikoku,Hades:The end,185,6,3,304999
Fujiwara Chika (CV: Kohara Konomi),Chikatto Chika Chika (TV Size),178,3,3,921889
SOOOO,Raven Haven,185,10,3,921535
Nor + YUC'e,Mizutama,175,10,3,1009290
Lite Show Magic (t+pazolite vs C-Show),Crack Traxxxx,220,2,5,139525
Ai Otsuka,Sakuranbo,169.96,5,3,16928
Eiffel 65,Move Your Body (Nightcore Mix),162.49,10,2,59602
SCANDAL,Shunkan Sentimental (TV Size),168,3,3,12756
yuikonnu & ayaponzu*,Kunoichi demo Koi ga Shitai,185,5,3,333775
Simple Plan,You Suck At Love (Speed Up Ver.),177.65,4,2,819112
LeaF,Kyouki Ranbu,230,2,5,394552
Meiko,Leave The Lights On (KROT Remix),170,5,2,56633
AAAA Chazuke,Hop Step Adventure*,186,2,5,466471
Tia,The Glory Days,184,3,3,391953
The Weeknd,Blinding Lights,171,5,2,1124502
Igorrr,Pavor Nocturnus,174,10,14,57525
Lia,"My Soul, Your Beats! (TV Size)",145,3,3,16273
SID,Ranbu no Melody (TV Size),192.1,3,3,75785
DM DOKURO,SAVE,180,2,5,532100
LiSA,traumerei (TV Ver.),190,3,3,106016
Nog,Aether Ritual,182,10,5,928431
Nico Nico Douga,Kumikyoku,180,7,3,4601
Itou Kanako,Uncontrollable,210,3,3,640326
illion,AIWAGUMA,176,5,3,533037
"Harada Hitomi, Kayano Ai & Ogura Yui",Maware! Setsugekka (TV Size),159.99,3,3,122658
Ryu*,KOROBUSHKA (Ryu*Remix),175,2,5,57192
M2U,Quo Vadis,160,2,5,135324
Hamburgaga,Fubuki Guys,165,7,5,1255559
Wakeshima Kanon,"World's End, Girl's Rondo (Asterisk DnB Remix)",175,3,3,445730
Kurubukko vs yukitani,Minamichita EVOLVED,180,2,5,136632
t+pazolite,Oshama Scramble!,190,2,5,697043
FELT,crescent moon,187,2,3,1155827
S3RL,I Will Pick You Up (feat. Tamika),175,10,2,919704
kemu,Haiboku no Shounen,185,4,3,67554
sasakure.UK,ChRoNiClESeVeN feat. Annabel,195,2,3,630014
TUYU,Kako ni Torawarete Iru,180,4,3,1323985
Kano,Houkago Stride,225,4,3,289985
Araki,Teo,185,4,3,749150
Camellia,Tornado,175,10,5,1110326
Sewerslvt,Cyberia lyr3,200,10,5,1501870
Anamanaguchi,Blackout City,187.5,2,5,67226
Electro.muster feat. Rita,Dream Walker,175,10,3,1480195
Caramell,Caramelldansen (Speedycake Remix),164.74,10,9,18568
Team Grimoire vs. Laur,Grievous Lady,210,2,5,1005685
Bring Me The Horizon,Anthem,220,11,2,32661
Morimori Atsushi vs. uma,Noel (long ver.),220,10,5,948070
Yunomi with Momobako&miko,Soumatou Labyrinth,160,10,3,625493
the peggies,Centimeter (TV Size),140,3,3,1204419
HO-KAGO TEA TIME,Tenshi ni Fureta yo! (Asterisk DnB Remix),175,3,3,508464
Hatsune Miku,Atama no Taisou,120,7,3,40344
Tsukasa,Accelerator,186,2,5,46084
Mrs. GREEN APPLE,Inferno (TV Size),185,3,3,999126
Camellia,Fastest Crash,210,10,5,394025
Fantasy Project,Dam Dadi Doo (Nightcore Mix),172.5,10,2,46201
Yuyoyuppe,Reon,182,11,3,55980
nano,Exist,188,3,3,73789
Kanno Yugo,il vento d'oro,135,14,5,1250853
Katy Perry,E.T. (Nightcore Mix),188.06,10,2,33761
Omoi,Chiisana Koi no Uta (Synth Rock Cover),220,4,3,609189
